Bolag;Datum;Lista;Radgivare;Flaggor(st);Erbjudande(Mkr);Utveckling(%);Borsvarde(Mkr);Teckningskurs(kr);Ande nyemission(%);Teckningsatagare;Garantiatagare;Andel sakrad(%);VD;Ordforande;Nyckelpersons agande;Storagare;Saljande storägare;Storleksklass;Uttnyttjad overtilldelning;Utv forsta dagen;Hemsida;Ovriga radgivare
Fram;2017-10-12;First North;Mangold FK ;1;20;                          210        ;50;20;100;Mangold FK,Per Vasilis,Gerhard Dal,GoMobile;;50;Max Bergman;Christopher Beselin;Uppgift saknas;Norsel,Va Duy Anh,Mangold FK;;Mikrobolag;0;56,5;wearefram.com;Jansson & Norin 
Bioarctic;2017-10-12;Nasdaq Mid;Carnegie ;2;600;                          178        ;2113;24;100;AP3,HBM Healthcare,Handelsbanken Fonder,AP2,John Wattin;;44.,2;Gunilla Osswald;Wenche Rolfsen;Uppgift saknas;Lars Lannfelt,Par Gellefors,Karolinska Development;;Miljardbolag;100;20,83;www.bioarctic.se/en;DNB,Lindahl,Baker McKenzie 
Handicare;2017-10-10;Nasdaq Mid;BofA Merrill Lynch,Carnegie ;0;855;                          0        ;2947;50;67;AP4,Danica,Holta Life Sciences;;43.,7;Asbjorn Eskild;Lars Marcher;Uppgift saknas;Nordic Capital,AP4,Danica,Holta Life Sciences;									Nordic Capital			;Miljardbolag;99.85;10;www.handicare.se;DNB,White & Case,Gernandt & Danielsson,Davis Polk & Wardwell 
Balco;2017-10-06;Nasdaq Small;Carnegie ;0;600;                          44        ;1200;56;0;Erik Selin,Swedbank Robur,Vatterleden,Lazard,LMK;;68.,3;Kenneth Lundahl;Lennart Kalén;Uppgift saknas;Segulah,Erik Selin,Swedbank Robur;									Segulah			;Miljardbolag;100;16,96;www.balcogroup.se/sv/hem;Danske Bank,Gernandt & Danielsson,Baker McKenzie 
Xspray Pharma;2017-09-28;First North;Redeye ;2;132;                          195        ;272;22;100;Swedbank Robur,Vasastaden,Healthinvest,Alfred Berg,Östersjostifelsten;;89.,4;Per Andersson;Mikael Wolff Jensen;Uppgift saknas;Östersjostiftelsen,Recipharm Venture,Swedbank Robur,Vasastaden,Healthinvest;;Smabolag;0;42,73;xspraypharma.com;Aktieinvest,Hannes Snellman 
Senzagen;2017-09-21;First North;Vator ;0;90;                          33        ;300;19,4;100;Ålandsbanken;;83.,4;Anki Malmborg Hager;Carl Borrebaeck;Uppgift saknas;Carl Borrebaeck,Malin Lindstedt,Anki Malmborg Hager;;Smabolag;0;110,31;senzagen.com;Nordnet Bank,Baker McKenzie 
Enrad;2017-07-24;Spotlight;InWest Corp. ;2;11;                          -63        ;29;5,6;100;Stubben,Fyrstad Foretagsfin.,Holmenbacken;;11.,4;Andreas Backang;Jakob Granstrom;Uppgift saknas;Weland Stal,Almi,Adinq;;Mikrobolag;0;-12,5;www.enrad.se;Aktieinvest 
News55;2017-07-21;NGM SME;Capensor ;8;8;                          -96        ;43;25;100;;									Dividend,					Capensor,					BGL Management,					Jörns Bullmarknad			;100;Fredrik Lundberg;Tobias Fagerlund;Uppgift saknas;Bryngan Invest,Artie,C. Sahlin Marknadsforing;;Mikrobolag;0;-30;www.news55.se;
Realfiction;2017-07-14;First North;Sedermera Corporate Finance ;5;22;                          74        ;88;7,6;100;Sedermera-kunder,Amtran,Kent Ternrud;									Amtran			;69.,7;Clas Dyrholm;Mikael Kjaer;Uppgift saknas;Ceranco Equity,Clape Holding,Artha Optimum;;Mikrobolag;0;14,47;www.realfiction.com;1CT Management 
Netmore;2017-07-14;First North;G&W FK ;11;24;                          -83        ;76;8,4;100;G&W-kunder;									G&W-kunder			;100;Richard Slunga;Rolf Norberg;Uppgift saknas;Advanced Research,Miranet,LMK;;Mikrobolag;29;-30,5;netmore.se;Aktieinvest,Delphi 
Omnicar;2017-07-13;Spotlight;Sedermera Corporate Finance ;2;14;                          -67        ;67;5,4;100;Sedermera-kunder,Burrito Venture,Citarella Capital;;53.,6;Claus Hansen;Jens Aalose;Uppgift saknas;Claus T. Hansen,Tine Hertz,Mayday Holding;;Mikrobolag;0;32,41;omnicar.com;
Nextcell;2017-07-13;Spotlight;Sedermera Corporate Finance ;2;25;                          -0        ;50;5;100;Sedermera-kunder,Gerhard Dal,Per Vasilis,P.Blomdahl,Diamyd Medical;;35.,7;Mathias Svahn;Anders Essen-Moller;Uppgift saknas;Diamyd Medical,Anders Essen-Moller,Bertil Lindkvist,Goran Ofsén;;Mikrobolag;0;-23,04;www.nextcellpharma.com;
Aspire Global;2017-07-11;First North;Pareto ;2;329;                          44        ;1323;30;19;Swedbank Robur;;61.,2;Tsachi Maimon;Carl Klingberg;Uppgift saknas;Barak Matalon,Eliyaho Azir,Pinhas Zahavi,Aharon Aran;									Barak Matalon,					Eliyaho Azir,					Pinhas Zahavi,					Aharon Aran			;Miljardbolag;100;6,67;www.aspireglobal.com;Baker McKenzie 
Urb-it;2017-07-07;First North;Mangold FK ;3;110;                          -94        ;298;15;100;Swedbank Robur,Graffe,Zenith,Invus;									Lage Jonason,					Gerald Engström,					Erik Mitteregger,					Mangold FK			;66.,3;Fredrik Warstedt;Lage Jonason;Uppgift saknas;Lage Jonason,Swedbank Robur,Erik Mitteregger,Gerald Engstrom;;Smabolag;0;-11;urb-it.com/sv;Westermark 
Promore Pharma;2017-07-06;First North;Redeye ;3;106;                          -27        ;502;23,3;100;Midroc,Rosetta,PRP;									LMK,					Mikael Lönn,					Formue Nord,					John Fällström,					APS Capital			;71.,7;Jonas Ekblom;Goran Pettersson;Uppgift saknas;Rosetta,Midroc,PRP;;Smabolag;0;-36,95;www.promorepharma.com/en;Avanza Bank,Aktieinvest,Setterwalls 
Cimco;2017-07-04;First North;Avanza Bank ;1;35;                          -89        ;287;14,5;100;LMK,Christian Berger, m.fl.;;59.,3;Cecilia Anderberg;Andreas Blomdahl;Uppgift saknas;The Happy Bunch,Marine Diesel,Foster Global;;Smabolag;100;23,45;www.oxe-diesel.com;Vastra Hamnen,Nordnet Bank,Lindahl 
Sensec;2017-06-28;NGM SME;Eminova ;4;8;                          6        ;87;0,7;100;;;0;Michael Pettersson;Mats Holmberg;Uppgift saknas;Desmond,Michael Pettersson,Brityard Invest,Carfield;;Mikrobolag;0;-10;sensec.se;
iApotek;2017-06-28;Spotlight;Capval Corp. ;3;3;                          -35        ;22;3,3;100;;;0;Beatrice Sederowsky;Hans Orre;Uppgift saknas;B18 Invest,Malfors Promotor,Blue Lemon,Blue Bat;;Mikrobolag;0;-16,67;www.iapotek.se;Partner FK 
Quartiers Properties;2017-06-21;First North;Mangold FK ;4;91;                          -64        ;551;15;100;Swedbank Robur,Leif Edlund,Rocet,Mats Invest,Egonomics;;100;Katri Lind;Jorgen Cederholm;46,07;Egonomics,Brannerod Fastighets,Rocet,LMK;;Smabolag;100;-2;www.quartiersproperties.se;DLA Piper,Monereo Meyer Marinel 
Sedana Medical;2017-06-21;First North;Pareto ;0;100;                          512        ;318;19,5;100;Healthinvest,Alto,Alfred Berg,Brohuvudet,Nyenburgh Holding;;55;Christer Ahlberg;Thomas Eklund;Uppgift saknas;Sten Gibeck,Magiola,Linc Invest,Michael Ryan,Ron Farrell;;Smabolag;100;22,05;www.sedanamedical.com;Setterwalls 
Trianon;2017-06-21;First North;Handelsbanken,Carnegie ;0;500;                          74        ;1650;48;60;Martin Gren,LMK,Lansforsakringar,PriorNilsson;;50;Olof Andersson;Mats Cederholm;Uppgift saknas;Olof Andersson,Briban Invest,Martin Gren;									Olof Andersson,					Briban Invest,					Cedelma			;Miljardbolag;100;7,29;www.trianon.se;Vinge 
Bonesupport;2017-06-21;Nasdaq Small;Carnegie,ABG Sundal Collier ;4;500;                          17        ;1341;29;100;Swedbank Robur,Healthcap,AP3,Industrifonden;;47.,2;Richard Davies;Hakan Bjorklund;Uppgift saknas;Healthcap,Industrifonden,Lundbeck,AP3;;Miljardbolag;79.03;10,34;www.bonesupport.com;Setterwalls,Baker McKenzie 
Surgical Science;2017-06-19;First North;Erik Penser Bank ;0;70;                          189        ;170;35;100;Swedbank Robur,Healthinvest,Semelin;;70.,1;Gisli Hennermark;Roland Bengtsson;Uppgift saknas;Marknadspotential,Semelin,Swedbank Robur;;Smabolag;0;63,57;surgicalscience.com;Vinge 
Nitro Games;2017-06-16;First North;Augment Partners ;2;31;                          -66        ;77;40;100;Bernhard von der Osten-Sacken,Jacob Ehrnrooth,Augment Partners,Gerhard Dal;;60;Jussi Tahtinen;Antti Villanen;Uppgift saknas;Jacob Ehrnrooth,Savox Investments,Antti Villanen;;Mikrobolag;0;1;www.nitrogames.com;Mangold FK,Smartius 
Enersize;2017-06-15;First North;Sedermera Corporate Finance ;1;28;                          -78        ;202;6,9;100;Scania Growth Capital,Swedish Growth Fund,Sedermera-kunder;;42.,5;Sami Mykkanen;Christian Merheim;Uppgift saknas;Cleantech Invest,Thorkel Investments,Sami Mykkanen;;Smabolag;0;23,91;enersize.com;
Paxman;2017-06-12;First North;Erik Penser Bank ;1;30;                          445        ;152;9,5;100;LF Blekinge,Goran Kallebo,Roger Johansson;;41.,5;Richard Paxman;Per-Anders Johansson;Uppgift saknas;Glenn Paxman,Bjorn Littorin,Richard Paxman;;Smabolag;0;14,74;www.paxman.se;Delphi 
TC Connect;2017-06-09;First North;Mangold FK ;1;15;                          25        ;60;20;100;Ole Oftedal,Mangold FK,GoMobile;;53.,3;Ulf Carlzon;Ole Oftedal;Uppgift saknas;TPE,Ole Oftedal,Mangold FK;;Mikrobolag;100;43;tcconnect.no;Wistrand 
Zaplox;2017-06-08;First North;Sedermera Corporate Finance ;2;45;                          -62        ;131;5,5;100;Sedermera-kunder,Swedish Growth Fund,LMK,Industrifonden;									LMK,					Industrifonden			;71.,2;Magnus Friberg;Åke Sund;Uppgift saknas;LMK,Mankel Beteiligungen,Industrifonden;;Mikrobolag;0;17,27;www.zaplox.com;
Net Trading Group;2017-06-07;NGM SME;Goteborg Corp. ;6;15;                          -76        ;62;4,8;100;Oliver Molse, m.fl.,Dividend,Per Vasilis,G&W FK,Rune Loderup;									Oliver Molse, m.fl.,					Dividend,					Per Vasilis,					G&W FK,					Rune Löderup			;80;Morten Hansson;Tommy Nilsson;Uppgift saknas;Petter Sorlie,Morten Hansson,Thor Johansen;;Mikrobolag;0;-36,88;maxgodis.se;Aqurat,Eminova 
Boozt;2017-05-31;Nasdaq Mid;Carnegie,Danske Bank ;1;1613;                          -32        ;3493;62;25;Ferd AS,ATP,Catella;;35.,1;Hermann Haraldsson;Henrik Theilbjorn;Uppgift saknas;KP Livsforsikring,Sunstone,Verdane,ECCP;									Sunstone,					Verdane,					ECCO			;Miljardbolag;100;25;www.boozt.com;Berenberg,Vinge 
Terranet;2017-05-30;First North;Vator ;1;100;                          -74        ;311;13;100;Ålandsbanken,Sverker Martin-Lof,Leif GW Persson;									Ålandsbanken			;95;Per-Olof Johannesson;Christian Lagerling;Uppgift saknas;Danir,Hakan Thysell,Mans Hultman;;Smabolag;0;32,31;terranet.se;Eminova,Baker McKenzie 
Ayima;2017-05-29;Spotlight;Capval Corp. ;4;11;                          -29        ;110;21;100;;									G.Månsson,					R.Näsström,					Blue Bat,					Oliver Molse, m.fl.			;100;Michael Jacobson;Thomas Jansson;Uppgift saknas;New Equity Venture,Michael Jacobson,Michael Nott;;Mikrobolag;0;1,43;www.ayima.com;Partner FK 
Medicover;2017-05-23;Nasdaq Mid;Jefferies,SEB ;1;2031;                          48        ;7467;56;100;;;0;Fredrik Ragmark;Fredrik Stenmo;10,85;Celox Holding (Stiftelse, familjen af Jochnick),NG Invest Beta,Familjen af Jochnick,Fredrik Stenmo,Fredrik Ragmark;;Miljardbolag;100;16,96;www.medicover.com;Carnegie,Nordea 
Munters;2017-05-23;Nasdaq Large;Carnegie,Goldman Sachs ;0;4142;                          -19        ;10098;55;2;FAM,Alecta,AMF,Handelsbanken Fonder,Brummer;;63.,4;John Peter Leesi;Christopher Curtis;Uppgift saknas;Nordic Capital,FA International,FAM;									Nordic Capital,					FA International			;Miljardbolag;100.06;20,09;www.munters.com;Danske Bank,Jefferies,Nordea,Swedbank 
Bioservo;2017-05-22;First North;Stockholm Corp. ;4;59;                          -53        ;206;24;95;Tellacq,Tomas Ward;;51.,8;Erik Landgren;Anders Lundmark;Uppgift saknas;Tellacq,Anders Lundmark,Tomas Ward;									Maria Amechazurra,					Santiago Verde			;Smabolag;64.67;-20,83;www.bioservo.se;Aqurat,Nordnet Bank,Avanza Bank,Glimstedt 
Mobiplus;2017-05-19;Spotlight;InWest Corp. ;2;7;                          -89        ;40;7,3;100;Janek Skoglund,R.Larsson,Fyrstad Foretagsfin.,Gerhard Dal;;50.,3;Fredrik Alsgren;Calle Morck;Uppgift saknas;Havslyckan,WB Invest,Janek Skoglund;;Mikrobolag;0;-;www.mobiplus.se;Aktieinvest 
Nexar Group;2017-05-18;NGM SME;G&W FK ;12;24;                          -97        ;49;6,3;100;"""Befintliga agare""";									Ej angivna			;80.,4;Mats Johansson;Mats Jakobsson;16,33;Mikael Karlsson,JPJ Invest,Mats Jakobsson,Niclas Lowgren,G&W FK;;Mikrobolag;0;-62,22;nexargroup.se;
Integrum;2017-05-15;First North;Soderlind & Co ;2;22;                          -55        ;174;20;100;Gert Nordin,Öhman,Spectric Intelligence,Per Nilsson;;50.,9;Jonas Bergman;Thomas Nortoft;Uppgift saknas;Rickard Branemark,Rothesay,Nordica Life,Gerhard Dal,Per Vasilis;;Smabolag;100;12,5;integrum.se;Setterwalls 
Cloudrepublic;2017-05-12;NGM SME;Goteborg Corp. ;10;15;                          -59        ;51;27;100;Oliver Molse, m.fl.,Rune Loderup,Goran Mansson,Dividend,Capensor;									Oliver Molse, m.fl.,					Rune Löderup,					G.Månsson,					Dividend,					Capensor			;100;Alexander Kehrer;Ari Liukko;Uppgift saknas;Ari Liukko,Alexander Kehrer,Peter Peldan;;Mikrobolag;100.1;-32,59;www.cloudrepublic.com/sv;Eminova 
Sdiptech;2017-05-12;First North;Carnegie ;0;500;                          -29        ;1696;56;100;Swedbank Robur,Handelsbanken Fonder;;35;Jakob Holm;Ashkan Pouya;Uppgift saknas;Serendipity,Swedbank Robur,Handelsbanken Fonder;									Serendipity			;Miljardbolag;54.41;-;sdiptech.com/sv;Gernandt & Danielsson,Baker McKenzie 
SECITS;2017-05-11;First North;Eminova ;7;18;                          -76        ;105;13,71;100;;									Per Vasilis,					Ehsan Ashrafi,					Alexander Albedj,					Formue Nord			;86.,1;Hans Molin;Gerhard Larsson;Uppgift saknas;Pavi IT,Bjassbodarna Invest,Talien Invest;;Mikrobolag;0;-27,79;www.secits.se;
Instalco;2017-05-11;Nasdaq Mid;SEB ;0;968;                          59        ;2547;55;0;Swedbank Robur,Handelsbanken Fonder,RAM,Carnegie,Pareto;;56.,8;Per Sjostrand;Olof Ehrlén;Uppgift saknas;FSN Capital,Per Sjostrand,Swedbank Robur;									FSN Capital,					C B Holding,					R5 Capital			;Miljardbolag;100;18,18;instalco.se;Carnegie,Nordnet Bank,Setterwalls,White & Case 
Freedesk;2017-05-10;Spotlight;Sedermera Corporate Finance ;8;13;                          0        ;43;3,5;100;Sedermera-kunder,M.Ahlin;;47.,9;Stefan Westergard;Cecilia Hollerup;Uppgift saknas;Stefan Westergard,Modala Gruppen,Cecilia Hollerup;;Mikrobolag;0;-56,57;www.thefreedesk.se;Aqurat 
Bambuser;2017-05-05;First North;Remium ;2;24;                          -94        ;140;9,2;100;LMK,Jens Mioen,Gerhard Dal,Fredrik Lundgren;									LMK,					Jens Miöen,					Gerhard Dal,					Fredrik Lundgren			;75;Hans Eriksson;Ingrid Bojner;Uppgift saknas;Mans Adler,LMK,Almi;;Smabolag;0;-34,78;bambuser.com;Aktieinvest,Vinge,Nordnet Bank,Vastra Hamnen 
Mantex;2017-05-05;First North;G&W FK ;6;48;                          -90        ;123;8,7;100;Pegroco;									LMK,					Henrik Wiman, m.fl.,					Oliver Molse, m.fl.			;95.,8;Max Berger;Per Grunewald;Uppgift saknas;Pegroco Invest,Henrik Wiman, m.fl.,Industrifonden,Allba;;Mikrobolag;0;-47,59;www.mantex.se;Aqurat,Lindahl 
Compare IT;2017-05-03;Spotlight;InWest Corp. ;2;10;                          -75        ;46;6,7;100;Christian Berger, m.fl.,Oliver Molse, m.fl.,Gerhard Dal;;47.,8;Kerstin Lindqvist Toms;Jeanette Andersson;Uppgift saknas;Jimmy Bjorkman,Martin Strandqvist,Extrico,Jelifa,Poqvint;;Mikrobolag;99.5;-7,46;www.compare-it.se;Aktieinvest 
XMReality;2017-04-26;First North;Redeye ;3;60;                          -52        ;200;13,7;100;AMF Fonder,Handelsbanken Fonder,C World Wide,Industrial Development,Sverker Martin-Lof;;63.,3;Johan Castevall;Claes Nylander;Uppgift saknas;Almi,Rambas,Per Carleberg;;Smabolag;0;6,2;xmreality.se;Aktieinvest,Ramberg Advokater 
Acucort;2017-04-24;Spotlight;InWest Corp. ;3;15;                          -5        ;48;6,9;100;Christian Berger, m.fl.,Oliver Molse, m.fl.,Gerhard Dal,Rune Loderup,Fyrstad Foretagsfin.;;42.,2;Mats Lindfors;Sten Sorensen;Uppgift saknas;P.U.L.S,Sparbanksstifelsen Skane,BE Participation;;Mikrobolag;0;-30,43;acucort.se;Aktieinvest 
Annexin Pharmaceuticals;2017-04-19;First North;Redeye ;6;54;                          -88        ;102;16,5;100;;									LMK,					Mikael Lönn,					Dividend,					Oliver Molse, m.fl.,					Rune Löderup			;91.,9;Annette Colin Lovgren;Philip Siberg;Uppgift saknas;Mikael Lonn,Frostskog,Skogsmollan;;Mikrobolag;0;-40,12;www.annexinpharma.com/sv;Aqurat,Lindahl 
Sonetel;2017-04-12;First North;G&W FK ;4;26;                          -61        ;100;29,6;100;Rune Loderup,Oliver Molse, m.fl.,Henrik Wiman, m.fl.,LMK,Dividend;									Rune Löderup,					Oliver Molse, m.fl.,					Henrik Wiman, m.fl.,					LMK,					Dividend			;90.,6;Henrik Thomé;Mats Sommarstrom;Uppgift saknas;Henrik Thomé,Almi,Tim Hansen;;Mikrobolag;0;-4,19;sonetel.com/sv;
FM Mattsson;2017-04-10;Nasdaq Small;Swedbank ;0;136;                          27        ;914;68;100;Svolder;;50;Fredrik Skarp;Johnny Alvarsson;Uppgift saknas;Tibia Konsult,LK Finans,Mats Mattsson;;Miljardbolag;0;38,24;www.fmm-mora.com/sv;Baker McKenzie 
Actic;2017-04-07;Nasdaq Small;SEB,Carnegie ;1;435;                          -32        ;803;50,5;62;Athanese Industrial,Swedbank Robur,AP4;;35.,6;Christer Zaar;Erik Lautmann;Uppgift saknas;Actic International,Athanese Industrial,Swedbank Robur;									Actic International			;Miljardbolag;34.7;0,99;www.acticgroup.se;DNB,Vinge,White & Case 
Intervacc;2017-04-07;First North;Remium ;3;50;                          6        ;161;10;100;Rothesay,Humle,LMK,Per Vasilis,Per Nilsson;;85;Jan-Ingmar Flock;Rune Bergman;Uppgift saknas;K Janzon Holding,Lyftet Holding,N.R. Bergman;;Smabolag;0;-21;intervacc.se;Aktieinvest,Lindahl 
Tangiamo Touch;2017-04-06;First North;Goteborg Corp. ;6;24;                          -84        ;97;5;100;Ospecifierat;									Ospecifierat			;80.,9;Mats Nordahl;Jan Bengtsson;Uppgift saknas;Glenn Mork,G&W FK,Niclas Lowgren,Gerhard Dal;;Mikrobolag;100;-24,2;www.tangiamo.com;Aqurat 
SSM Holding;2017-04-06;Nasdaq Mid;ABG Sundal Collier,SEB ;4;579;                          -85        ;2316;59;93;Lansforsakringar,Malmegards Fastighet,Grandholm Fastighet;;31.,1;Mattias Roos;Anders Janson;Uppgift saknas;Eurodevelopment Holding,Lansforsakringar,Malmegards Fastighet;									Eurodevelopment Holding			;Miljardbolag;41.06;-0,85;www.ssmlivinggroup.com;Gernandt & Danielsson,Hammarskiold 
Isofol Medical;2017-04-04;First North;Pareto ;1;430;                          -11        ;917;29;100;Handelsbanken Fonder,AFA Forsakring;;50;Anders Rabbe;Jan-Eric Österlund;Uppgift saknas;Biofol,Yield Life Science,Recipharm Venture;;Miljardbolag;0;-6,9;isofol.se;Pareto,Vinge 
Ambea;2017-03-31;Nasdaq Mid;Carnegie,Nordea ;0;1992;                          6        ;5071;75;10;Fidelity,Öresund,Didner Gerge,Carve Capital,Catella;;47.,7;Fredrik Gren;Lena Hofsberger;Uppgift saknas;Actor SCA,Öresund,Fidelity,Didner Gerge,Catella;									Actor SCA			;Miljardbolag;100.05;10;www.ambea.se;Vinge,Latham & Watkins,Danske Bank 
Prolight;2017-03-31;NGM SME;G&W FK ;10;23;                          57        ;39;0,75;100;;									G&W-kunder			;90;Maria Holmlund;Mats Persson;Uppgift saknas;Ingemar Kihlstrom,MK Capital,G&W FK;;Mikrobolag;14.23;-37,33;prolight.se;
Biovica;2017-03-29;First North;Vator ;1;60;                          -3        ;220;12,5;100;A.Rylander,Ålandsbanken;;83.,3;Anders Rylander;Goran Brorsson;Uppgift saknas;Rylander*,Leif Glantz,Kristina Gronowitz;;Smabolag;0;-4,4;biovica.com;Eminova,Baker McKenzie 
Unibap;2017-03-27;First North;Mangold FK ;1;23;                          19        ;97;20;100;Mangold FK,Per Vasilis,Gerhard Dal,Rune Loderup,Per Nilsson;;60.,9;Fredrik Bruhn;Gunnar Bergstedt;Uppgift saknas;Rothesay Limited,Fredrik Bruhn,Per Vasilis;;Mikrobolag;0;40;unibap.com;Delphi 
Eatgood;2017-03-27;Spotlight;InWest Corp. ;4;12;                          -43        ;44;5,9;100;Christian Berger, m.fl.;;25.,4;Henrik Önnermark;Per Johan Swartling;Uppgift saknas;Henrik Önnermark,Bengt Andersson,TSP Forvaltning,Almi,Karl Johan Blank;;Mikrobolag;33.9;-34,07;eatgood.se;Aktieinvest 
Mips;2017-03-23;Nasdaq Small;ABG Sundal Collier,Handelsbanken ;0;570;                          160        ;1164;46;26;Swedbank Robur,AP3,Handelsbanken Fonder,Lannebo,LMK;;60.,5;Johan Thiel;Bengt Baron;Uppgift saknas;BTA,Healthcap,KTH-Chalmers Capital,Almi,Bengt Baron;									BTA,					Healthcap,					KTH-Chalmers Capital,					Almi			;Miljardbolag;100;11,96;mipsprotection.com;Cederquist,Hammarskiold 
Chromogenics;2017-03-23;First North;G&W FK ;4;117;                          -90        ;197;8,5;100;Henrik Wiman, m.fl.,LMK,Per Vasilis,Sverker Martin-Lof,G&W FK;									Henrik Wiman, m.fl.,					LMK,					Per Vasilis,					Sverker Martin-Löf			;81.,8;Thomas Almesjo;Anders Brannstrom;Uppgift saknas;K-Svets Venture,New Energy Solutions,Volvo Venture Capital;;Smabolag;7.93;-25,05;www.chromogenics.com;Aktieinvest,Erik Penser Bank 
Acosense;2017-03-20;Spotlight;InWest Corp. ;2;12;                          -67        ;37;8,6;100;Almi,Per Nilsson;;60.,3;Per Hellman;Ingvar Andersson;Uppgift saknas;Chalmers Ventures,Divergensia,Almi;;Mikrobolag;0;18,6;www.acosense.com;Aktieinvest 
Initiator Pharma;2017-03-16;Spotlight;Sedermera Corporate Finance ;3;20;                          -23        ;48;5,5;100;Sedermera-kunder,Leif Peters,Claus Oleses,Ulf Simonsen,Torgeir Vaage;;58;Claus Olesen;Magnus Persson;23,07;Dan Peters,Ulf Simonsen,Mikael Thomsen,Claus Elsborg Olesen;;Mikrobolag;0;5,45;initiatorpharma.com;Aqurat 
Samtrygg;2017-03-15;NGM SME;Eminova ;8;5;                          -40        ;53;7;100;;									Abelco,					R.Näsström			;63.,6;Marcus Lindstrom;Barbro Engman;Uppgift saknas;Marcus Lindstrom,Jakob Tivell,Cantiagona;;Mikrobolag;100;-39,43;www.samtrygg.se;
Hemcheck;2017-03-15;First North;Corpura ;2;28;                          41        ;63;6;100;Almi,LMK,Per Nilsson,Per Vasilis;;53.,2;Annelie Brolinson;Fredrik Sjovall;Uppgift saknas;Stockholm Karlstad Invest,Almi,LMK;;Mikrobolag;100;15,73;hemcheck.com;Aktieinvest,Fredersen Advokat 
Chordate;2017-03-08;NGM SME;Mangold FK ;3;20;                          -94        ;69;19;100;GoMobile,Mangold FK,Oliver Molse, m.fl.,Vilhelm Sundstrom,Lage Jonason;;73;Fredrik Henckel;Henrik Rammer;Uppgift saknas;Henrik Rammer,Tiven GmbH,Vilhelm Sundstrom;;Mikrobolag;0;-26,32;www.chordate.com;Hamilton 
Spintso;2017-03-03;NGM SME;Eminova ;5;6;                          -51        ;30;4,8;100;A.Lagerberg;;60;Peter Evertsson;Frank Teneberg;Uppgift saknas;Monotarg,Mark Baljeu;;Mikrobolag;0;-38,13;www.spintso.se;
IRLAB;2017-02-28;First North;Stockholm Corp. ;4;116;                          427        ;420;60;100;Daniel Johnsson,Vatterleden,FV Group,Baretten Konsult;;78.,4;Nicholas Waters;Anders Vedin;Uppgift saknas;Sivert Larsson Foundation,FV Group,Nicholas Waters;;Smabolag;0;-1,67;www.irlab.se;Aqurat,Delphi,Hjalmarsons och Partners,Investigum,Avanza Bank 
Oncopeptides;2017-02-22;Nasdaq Mid;ABG Sundal Collier,Carnegie ;2;650;                          165        ;1786;46;100;Gladiator,SEB-stiftelsen,Carnegie,Industrifonden,Healthcap;;36.,3;Jakob Lindberg;Alan Hulme;Uppgift saknas;Industrifonden,Healthcap,Alan Humle;;Miljardbolag;46.15;-6,52;www.oncopeptides.se;DNB,Setterwalls,White & Case 
Aerowash;2017-02-17;Spotlight;Partner FK ;8;6;                          -14        ;44;20;100;;									G.Månsson,					Nordic Emotion,					R.Näsström,					G.Jansson			;100;Niklas Adler;Jan Nilsson;61,03;Nordic Ground,New Equity Venture,Joakim Adler,Niklas Adler,Richard Nasstrom;;Mikrobolag;0;-28;aerowash.com;
Menucard;2017-02-06;Spotlight;Eminova ;5;20;                          -97        ;42;4,5;100;1CT Equity,Artha;									Formue Nord			;75.,5;Kim Lykke Sommer;Christian Peytz;Uppgift saknas;1CT Equity,Creative Organisations,Artha Gruppen;;Mikrobolag;0;-9,78;menucard.dk;
Acousort;2017-01-09;Spotlight;Sedermera Corporate Finance ;3;11;                          55        ;41;5,5;100;Sedermera-kunder;;41.,2;Torsten Freltoft;Martin Linde;Uppgift saknas;Thomas Laurell,Stefan Scheding,Torsten Freltoft;;Mikrobolag;0;58,18;acousort.com;Aqurat 
